Date,Sales_size,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
2015-01-01,4.013722929953365,151976,136,0,0,15663,0,0,0,661,0
2015-01-02,7.220396186625647,204223,185,0,0,20075,0,0,0,5404,0
2015-01-03,8.195493629353901,158073,146,0,0,11251,0,0,0,1103,0
2015-01-04,7.637878634352433,161828,146,0,0,14118,0,0,0,1213,0
2015-01-05,5.98285603750024,241127,209,0,0,644286,0,0,676,78757,0
2015-01-06,6.072924314361043,223926,200,0,0,13346,0,0,0,2647,0
2015-01-07,6.139561518807902,248798,214,0,0,11692,0,0,0,882,0
2015-01-08,6.944070867148716,242176,209,0,0,13015,0,0,0,1544,0
2015-01-09,7.500609271026015,253563,219,0,0,18420,0,0,0,4301,0
2015-01-10,7.7267615072989555,166915,146,0,0,18420,0,0,0,1764,0
2015-01-11,8.00127543796212,195663,170,0,0,19523,0,0,0,2316,0
2015-01-12,7.008468120052467,231033,200,0,0,158948,0,0,0,14780,0
2015-01-13,6.586504872868851,240884,214,0,0,17317,0,0,0,772,0
2015-01-14,5.258954786191087,255945,219,0,676,16655,0,0,0,882,0
2015-01-15,4.208943102975295,250575,219,0,0,18200,0,0,0,661,0
2015-01-16,4.3903586503337,258610,224,0,0,38165,0,0,0,12905,0
2015-01-17,4.591872191842625,166229,151,0,0,7500,0,0,0,441,0
2015-01-18,4.525710919049733,214842,185,0,0,11912,0,0,0,330,0
2015-01-19,3.2721418438931793,252876,219,0,1352,120562,0,0,0,17207,0
2015-01-20,2.966124629264998,248314,219,0,0,14118,0,0,0,4081,0
2015-01-21,3.425927732438505,261961,224,0,1352,22832,0,0,2028,772,0
2015-01-22,3.5686079913202473,242580,219,0,0,28789,0,0,0,1985,0
2015-01-23,4.69391187217193,272620,239,0,0,27576,0,0,0,4081,0
2015-01-24,4.267633544650248,193281,175,0,0,12023,0,0,0,1544,0
2015-01-25,3.3322506302892467,216255,185,0,0,11802,0,0,0,551,0
2015-01-26,2.574243142544403,261880,229,0,676,90228,0,0,0,10037,0
2015-01-27,3.0888901725281936,257439,229,0,4732,18972,0,0,0,16986,0
2015-01-28,3.6662062379964437,269107,234,0,0,18531,0,0,0,4081,0
2015-01-29,3.050979091048059,259336,224,0,0,14339,0,0,1352,661,0
2015-01-30,4.930408482296687,287559,248,0,0,16325,0,0,0,2426,0
2015-01-31,4.064514870416776,205151,180,0,0,11802,0,0,0,992,0
2015-02-01,5.226538279685403,218960,190,0,0,22502,0,0,0,1875,0
2015-02-02,3.503789726357562,267008,234,0,0,90449,0,0,0,9817,0
2015-02-03,2.6574758557413167,248354,219,0,2028,16986,0,0,0,1103,0
2015-02-04,2.6475582659098733,260548,224,0,676,14560,0,0,676,110,0
2015-02-05,3.2437119511198698,271167,239,0,0,41474,0,0,1352,2536,0
2015-02-06,6.04947369363477,284652,248,0,676,11251,0,0,0,661,0
2015-02-07,5.888681402928614,204748,180,0,0,13015,0,0,0,1433,0
2015-02-08,6.220189246298556,221060,190,0,0,11361,0,0,0,1875,0
2015-02-09,4.451136451575511,262082,229,0,1352,44452,0,0,676,4522,0
2015-02-10,4.2052735986376755,256066,229,0,3380,14229,0,0,0,2095,0
2015-02-11,4.486037187510617,254976,219,0,0,11802,0,0,1352,992,0
2015-02-12,4.226012520195385,271167,239,0,2028,26914,0,0,0,1433,0
2015-02-13,6.184008018927632,283966,248,0,0,24818,0,0,0,30333,0
2015-02-14,6.531927249444771,207089,185,0,676,9706,0,0,2028,1433,0
2015-02-15,5.6426428625726714,219687,195,0,676,40261,0,0,0,2536,0
2015-02-16,4.018972314450713,255703,229,0,0,91552,0,0,676,12574,0
2015-02-17,3.375804946839869,250978,229,0,2704,26803,0,0,0,14780,0
2015-02-18,4.633860878220401,249363,219,0,2028,15883,0,0,676,551,0
